Gene,Metabolite,Correlation
Dapma7bEVm000246,107_0080423,-0.525555772
Dapma7bEVm000250,107_0080423,-0.537988588
Dapma7bEVm000253,107_0080423,-0.558166254
Dapma7bEVm000254,107_0080423,-0.529421154
Dapma7bEVm000320,107_0080423,-0.542300229
Dapma7bEVm000390,107_0080423,-0.504692854
Dapma7bEVm000399,107_0080423,-0.504490433
Dapma7bEVm000405,107_0080423,-0.515161073
Dapma7bEVm000432,107_0080423,-0.572338766
Dapma7bEVm000463,107_0080423,-0.52830955
Dapma7bEVm000432,107_0377404,-0.50322714
Dapma7bEVm000243,115_9888848,-0.504360841
Dapma7bEVm000046,121_0235785,-0.517017458
Dapma7bEVm000112,121_0235785,-0.530292221
Dapma7bEVm000195,121_0235785,-0.522012154
Dapma7bEVm000201,121_0235785,-0.508278261
Dapma7bEVm000243,121_0235785,-0.570950744
Dapma7bEVm000246,121_0235785,-0.543941775
Dapma7bEVm000250,121_0235785,-0.520254309
Dapma7bEVm000253,121_0235785,-0.537452139
Dapma7bEVm000254,121_0235785,-0.524582758
Dapma7bEVm000320,121_0235785,-0.546225049
Dapma7bEVm000432,121_0235785,-0.564093454
Dapma7bEVm000463,121_0235785,-0.503636821
Dapma7bEVm000046,121_9938554,-0.513355972
Dapma7bEVm000055,121_9938554,-0.536493988
Dapma7bEVm000112,121_9938554,-0.52137364
Dapma7bEVm000195,121_9938554,-0.501034956
Dapma7bEVm000243,121_9938554,-0.571321573
Dapma7bEVm000246,121_9938554,-0.500685836
Dapma7bEVm000250,121_9938554,-0.532846982
Dapma7bEVm000253,121_9938554,-0.559366796
Dapma7bEVm000254,121_9938554,-0.544122209
Dapma7bEVm000320,121_9938554,-0.54177368
Dapma7bEVm000405,121_9938554,-0.560254156
Dapma7bEVm000432,121_9938554,-0.556657349
Dapma7bEVm000463,121_9938554,-0.524856546
Dapma7bEVm000046,137_0297468,-0.523419044
Dapma7bEVm000112,137_0297468,-0.514965068
Dapma7bEVm000195,137_0297468,-0.529159859
Dapma7bEVm000243,137_0297468,-0.546898245
Dapma7bEVm000246,137_0297468,-0.514078708
Dapma7bEVm000253,137_0297468,-0.51447216
Dapma7bEVm000254,137_0297468,-0.509478345
Dapma7bEVm000320,137_0297468,-0.520406983
Dapma7bEVm000393,137_0297468,-0.503154949
Dapma7bEVm000432,137_0297468,-0.538254036
Dapma7bEVm000112,138_9643966,-0.509958488
Dapma7bEVm000243,138_9643966,-0.529484731
Dapma7bEVm000250,138_9643966,-0.521817753
Dapma7bEVm000253,138_9643966,-0.527891938
Dapma7bEVm000254,138_9643966,-0.500586146
Dapma7bEVm000320,138_9643966,-0.53468889
Dapma7bEVm000463,138_9643966,-0.508779919
Dapma7bEVm000055,146_0716624,0.509996264
Dapma7bEVm000046,148_0150336,-0.521235133
Dapma7bEVm000112,148_0150336,-0.532994833
Dapma7bEVm000195,148_0150336,-0.543080622
Dapma7bEVm000243,148_0150336,-0.553545634
Dapma7bEVm000246,148_0150336,-0.509607447
Dapma7bEVm000250,148_0150336,-0.526038307
Dapma7bEVm000253,148_0150336,-0.529067699
Dapma7bEVm000254,148_0150336,-0.528209669
Dapma7bEVm000320,148_0150336,-0.543262114
Dapma7bEVm000390,148_0150336,-0.508376469
Dapma7bEVm000432,148_0150336,-0.546613247
Dapma7bEVm000243,148_0514309,-0.515140993
Dapma7bEVm000432,148_0514309,-0.53744726
Dapma7bEVm000046,151_045681,-0.506099633
Dapma7bEVm000393,151_045681,-0.501086285
Dapma7bEVm000432,151_045681,-0.516363826
Dapma7bEVm000046,155_0558511,-0.535867957
Dapma7bEVm000112,155_0558511,-0.574406036
Dapma7bEVm000188,155_0558511,-0.50010964
Dapma7bEVm000195,155_0558511,-0.533722796
Dapma7bEVm000243,155_0558511,-0.572827409
Dapma7bEVm000250,155_0558511,-0.556749597
Dapma7bEVm000253,155_0558511,-0.544706043
Dapma7bEVm000254,155_0558511,-0.514578945
Dapma7bEVm000320,155_0558511,-0.529080467
Dapma7bEVm000399,155_0558511,-0.516239127
Dapma7bEVm000405,155_0558511,-0.515058817
Dapma7bEVm000432,155_0558511,-0.589149521
Dapma7bEVm000463,155_0558511,-0.513052278
Dapma7bEVm000253,156_9753322,-0.500580782
Dapma7bEVm000320,156_9753322,-0.507881617
Dapma7bEVm000007,158_0304838,-0.544915372
Dapma7bEVm000046,158_0304838,-0.542252308
Dapma7bEVm000066,158_0304838,-0.51186683
Dapma7bEVm000112,158_0304838,-0.541551711
Dapma7bEVm000147,158_0304838,-0.542282074
Dapma7bEVm000195,158_0304838,-0.541424395
Dapma7bEVm000201,158_0304838,-0.546956212
Dapma7bEVm000243,158_0304838,-0.641623909
Dapma7bEVm000246,158_0304838,-0.55958889
Dapma7bEVm000250,158_0304838,-0.549906148
Dapma7bEVm000253,158_0304838,-0.591000852
Dapma7bEVm000254,158_0304838,-0.58320254
Dapma7bEVm000320,158_0304838,-0.582767309
Dapma7bEVm000381,158_0304838,-0.510446573
Dapma7bEVm000390,158_0304838,-0.534021292
Dapma7bEVm000399,158_0304838,-0.506878698
Dapma7bEVm000405,158_0304838,-0.544935198
Dapma7bEVm000432,158_0304838,-0.620414341
Dapma7bEVm000463,158_0304838,-0.551957752
Dapma7bEVm000055,164_0824199,0.547676949
Dapma7bEVm000127,166_0585708,0.509817247
Dapma7bEVm000046,170_9910212,-0.503793069
Dapma7bEVm000046,173_0664584,-0.50044411
Dapma7bEVm000112,173_0664584,-0.508722363
Dapma7bEVm000243,173_0664584,-0.517199228
Dapma7bEVm000250,173_0664584,-0.500293545
Dapma7bEVm000432,173_0664584,-0.533974218
Dapma7bEVm000055,181_1090049,0.52029859
Dapma7bEVm000003,182_9630109,-0.505488572
Dapma7bEVm000007,182_9630109,-0.518756286
Dapma7bEVm000046,182_9630109,-0.57504133
Dapma7bEVm000055,182_9630109,-0.510386574
Dapma7bEVm000066,182_9630109,-0.533847625
Dapma7bEVm000112,182_9630109,-0.610577126
Dapma7bEVm000147,182_9630109,-0.509443838
Dapma7bEVm000188,182_9630109,-0.556909093
Dapma7bEVm000195,182_9630109,-0.570144885
Dapma7bEVm000201,182_9630109,-0.573790336
Dapma7bEVm000243,182_9630109,-0.646767397
Dapma7bEVm000246,182_9630109,-0.598262695
Dapma7bEVm000250,182_9630109,-0.59933605
Dapma7bEVm000253,182_9630109,-0.623493113
Dapma7bEVm000254,182_9630109,-0.606279443
Dapma7bEVm000258,182_9630109,0.510142891
Dapma7bEVm000320,182_9630109,-0.613189891
Dapma7bEVm000328,182_9630109,-0.527346659
Dapma7bEVm000381,182_9630109,-0.52805054
Dapma7bEVm000390,182_9630109,-0.559998408
Dapma7bEVm000393,182_9630109,-0.547390292
Dapma7bEVm000399,182_9630109,-0.50857461
Dapma7bEVm000405,182_9630109,-0.585811544
Dapma7bEVm000432,182_9630109,-0.640286288
Dapma7bEVm000463,182_9630109,-0.587752625
Dapma7bEVm000127,183_0850225,0.544919623
Dapma7bEVm000293,183_0850225,0.504144982
Dapma7bEVm000007,183_9638,-0.519579095
Dapma7bEVm000046,183_9638,-0.572116372
Dapma7bEVm000066,183_9638,-0.521821694
Dapma7bEVm000112,183_9638,-0.61498289
Dapma7bEVm000147,183_9638,-0.505006185
Dapma7bEVm000188,183_9638,-0.536857928
Dapma7bEVm000195,183_9638,-0.566049628
Dapma7bEVm000201,183_9638,-0.568538438
Dapma7bEVm000243,183_9638,-0.639465563
Dapma7bEVm000246,183_9638,-0.595425049
Dapma7bEVm000250,183_9638,-0.595199839
Dapma7bEVm000253,183_9638,-0.6159328
Dapma7bEVm000254,183_9638,-0.595941308
Dapma7bEVm000320,183_9638,-0.605715855
Dapma7bEVm000328,183_9638,-0.505306002
Dapma7bEVm000381,183_9638,-0.519068659
Dapma7bEVm000390,183_9638,-0.546449197
Dapma7bEVm000393,183_9638,-0.532969409
Dapma7bEVm000399,183_9638,-0.517613822
Dapma7bEVm000405,183_9638,-0.56806234
Dapma7bEVm000432,183_9638,-0.637477702
Dapma7bEVm000463,183_9638,-0.58541203
Dapma7bEVm000007,184_9605497,-0.512129542
Dapma7bEVm000046,184_9605497,-0.571365284
Dapma7bEVm000066,184_9605497,-0.522133003
Dapma7bEVm000112,184_9605497,-0.615809678
Dapma7bEVm000147,184_9605497,-0.501508822
Dapma7bEVm000188,184_9605497,-0.534692234
Dapma7bEVm000195,184_9605497,-0.565136266
Dapma7bEVm000201,184_9605497,-0.56774674
Dapma7bEVm000243,184_9605497,-0.638095958
Dapma7bEVm000246,184_9605497,-0.591562033
Dapma7bEVm000250,184_9605497,-0.59442484
Dapma7bEVm000253,184_9605497,-0.614580918
Dapma7bEVm000254,184_9605497,-0.59340177
Dapma7bEVm000320,184_9605497,-0.606611819
Dapma7bEVm000328,184_9605497,-0.507811921
Dapma7bEVm000381,184_9605497,-0.517731963
Dapma7bEVm000390,184_9605497,-0.545879514
Dapma7bEVm000393,184_9605497,-0.533793342
Dapma7bEVm000399,184_9605497,-0.503168579
Dapma7bEVm000405,184_9605497,-0.569200466
Dapma7bEVm000432,184_9605497,-0.636575853
Dapma7bEVm000463,184_9605497,-0.581551603
Dapma7bEVm000046,186_0616645,-0.556817898
Dapma7bEVm000066,186_0616645,-0.544142147
Dapma7bEVm000112,186_0616645,-0.594889576
Dapma7bEVm000195,186_0616645,-0.560912355
Dapma7bEVm000201,186_0616645,-0.51671938
Dapma7bEVm000243,186_0616645,-0.627920154
Dapma7bEVm000246,186_0616645,-0.555488838
Dapma7bEVm000250,186_0616645,-0.570256145
Dapma7bEVm000253,186_0616645,-0.608381303
Dapma7bEVm000254,186_0616645,-0.59437168
Dapma7bEVm000320,186_0616645,-0.592415474
Dapma7bEVm000328,186_0616645,-0.504666239
Dapma7bEVm000381,186_0616645,-0.561671796
Dapma7bEVm000390,186_0616645,-0.571605946
Dapma7bEVm000393,186_0616645,-0.513502751
Dapma7bEVm000399,186_0616645,-0.528436427
Dapma7bEVm000405,186_0616645,-0.567455732
Dapma7bEVm000432,186_0616645,-0.626209961
Dapma7bEVm000463,186_0616645,-0.567605575
Dapma7bEVm000046,188_0409255,-0.527917242
Dapma7bEVm000112,188_0409255,-0.53547804
Dapma7bEVm000195,188_0409255,-0.510195831
Dapma7bEVm000201,188_0409255,-0.520349817
Dapma7bEVm000243,188_0409255,-0.561779035
Dapma7bEVm000246,188_0409255,-0.533562778
Dapma7bEVm000250,188_0409255,-0.541710157
Dapma7bEVm000253,188_0409255,-0.563936942
Dapma7bEVm000254,188_0409255,-0.533093453
Dapma7bEVm000320,188_0409255,-0.541617238
Dapma7bEVm000405,188_0409255,-0.525784107
Dapma7bEVm000432,188_0409255,-0.546613131
Dapma7bEVm000463,188_0409255,-0.522519739
Dapma7bEVm000243,197_0663502,-0.520401104
Dapma7bEVm000250,197_0663502,-0.524060136
Dapma7bEVm000432,197_0663502,-0.515148432
Dapma7bEVm000002,200_0772426,-0.525563918
Dapma7bEVm000007,200_0772426,-0.566675103
Dapma7bEVm000037,200_0772426,-0.502715067
Dapma7bEVm000046,200_0772426,-0.567153482
Dapma7bEVm000055,200_0772426,-0.531566529
Dapma7bEVm000066,200_0772426,-0.603578702
Dapma7bEVm000087,200_0772426,-0.512409896
Dapma7bEVm000105,200_0772426,-0.519171818
Dapma7bEVm000112,200_0772426,-0.608049729
Dapma7bEVm000147,200_0772426,-0.560171255
Dapma7bEVm000188,200_0772426,-0.505859404
Dapma7bEVm000195,200_0772426,-0.59491254
Dapma7bEVm000201,200_0772426,-0.628991916
Dapma7bEVm000243,200_0772426,-0.698368105
Dapma7bEVm000246,200_0772426,-0.604150861
Dapma7bEVm000250,200_0772426,-0.589886357
Dapma7bEVm000253,200_0772426,-0.685584122
Dapma7bEVm000254,200_0772426,-0.670267603
Dapma7bEVm000258,200_0772426,0.548269323
Dapma7bEVm000320,200_0772426,-0.685567841
Dapma7bEVm000328,200_0772426,-0.564395152
Dapma7bEVm000381,200_0772426,-0.605174692
Dapma7bEVm000389,200_0772426,-0.538991661
Dapma7bEVm000390,200_0772426,-0.634444809
Dapma7bEVm000400,200_0772426,-0.50157587
Dapma7bEVm000405,200_0772426,-0.621213459
Dapma7bEVm000432,200_0772426,-0.667670697
Dapma7bEVm000438,200_0772426,-0.526972726
Dapma7bEVm000463,200_0772426,-0.641178281
Dapma7bEVm000007,200_9735111,-0.527737115
Dapma7bEVm000046,200_9735111,-0.559914054
Dapma7bEVm000055,200_9735111,-0.505689347
Dapma7bEVm000066,200_9735111,-0.533505586
Dapma7bEVm000112,200_9735111,-0.599960875
Dapma7bEVm000147,200_9735111,-0.503642345
Dapma7bEVm000188,200_9735111,-0.541866825
Dapma7bEVm000195,200_9735111,-0.559743472
Dapma7bEVm000201,200_9735111,-0.5716016
Dapma7bEVm000243,200_9735111,-0.63929843
Dapma7bEVm000246,200_9735111,-0.588694327
Dapma7bEVm000250,200_9735111,-0.594141392
Dapma7bEVm000253,200_9735111,-0.618516477
Dapma7bEVm000254,200_9735111,-0.603217837
Dapma7bEVm000320,200_9735111,-0.608385249
Dapma7bEVm000328,200_9735111,-0.516614912
Dapma7bEVm000381,200_9735111,-0.526267573
Dapma7bEVm000390,200_9735111,-0.565491262
Dapma7bEVm000393,200_9735111,-0.53627609
Dapma7bEVm000399,200_9735111,-0.521110944
Dapma7bEVm000405,200_9735111,-0.577069048
Dapma7bEVm000432,200_9735111,-0.632168489
Dapma7bEVm000463,200_9735111,-0.584189755
Dapma7bEVm000007,201_9743187,-0.526379456
Dapma7bEVm000046,201_9743187,-0.568108237
Dapma7bEVm000066,201_9743187,-0.531309181
Dapma7bEVm000112,201_9743187,-0.616456894
Dapma7bEVm000147,201_9743187,-0.514655508
Dapma7bEVm000188,201_9743187,-0.532058693
Dapma7bEVm000195,201_9743187,-0.569519207
Dapma7bEVm000201,201_9743187,-0.57585405
Dapma7bEVm000243,201_9743187,-0.64618532
Dapma7bEVm000246,201_9743187,-0.595349066
Dapma7bEVm000250,201_9743187,-0.605832861
Dapma7bEVm000253,201_9743187,-0.617714421
Dapma7bEVm000254,201_9743187,-0.599543669
Dapma7bEVm000320,201_9743187,-0.610239436
Dapma7bEVm000328,201_9743187,-0.514150419
Dapma7bEVm000381,201_9743187,-0.525245478
Dapma7bEVm000390,201_9743187,-0.552712133
Dapma7bEVm000393,201_9743187,-0.531911901
Dapma7bEVm000399,201_9743187,-0.511614008
Dapma7bEVm000405,201_9743187,-0.572452322
Dapma7bEVm000432,201_9743187,-0.636974818
Dapma7bEVm000463,201_9743187,-0.587152787
Dapma7bEVm000243,202_0565338,-0.552418297
Dapma7bEVm000246,202_0565338,-0.511478116
Dapma7bEVm000250,202_0565338,-0.507300239
Dapma7bEVm000253,202_0565338,-0.529748597
Dapma7bEVm000254,202_0565338,-0.515217918
Dapma7bEVm000432,202_0565338,-0.510997771
Dapma7bEVm000055,203_1508393,0.504894621
Dapma7bEVm000250,206_9224264,-0.521790443
Dapma7bEVm000393,206_9224264,-0.507289607
Dapma7bEVm000055,209_1039279,0.534523789
Dapma7bEVm000055,210_1072766,0.55344696
Dapma7bEVm000250,211_0821757,-0.509124215
Dapma7bEVm000432,211_0821757,-0.501003166
Dapma7bEVm000055,211_0849944,0.602776545
Dapma7bEVm000055,211_0913221,0.573761124
Dapma7bEVm000046,213_0015638,-0.517831857
Dapma7bEVm000195,213_0015638,-0.53131508
Dapma7bEVm000243,213_0015638,-0.548865782
Dapma7bEVm000253,213_0015638,-0.51590533
Dapma7bEVm000463,213_0015638,-0.504011094
Dapma7bEVm000003,214_9893542,-0.500150309
Dapma7bEVm000007,214_9893542,-0.502797071
Dapma7bEVm000046,214_9893542,-0.550595338
Dapma7bEVm000066,214_9893542,-0.511109373
Dapma7bEVm000112,214_9893542,-0.604973412
Dapma7bEVm000188,214_9893542,-0.535008947
Dapma7bEVm000195,214_9893542,-0.567493382
Dapma7bEVm000201,214_9893542,-0.551954821
Dapma7bEVm000243,214_9893542,-0.621375473
Dapma7bEVm000246,214_9893542,-0.585909253
Dapma7bEVm000250,214_9893542,-0.568627738
Dapma7bEVm000253,214_9893542,-0.597619622
Dapma7bEVm000254,214_9893542,-0.583665929
Dapma7bEVm000320,214_9893542,-0.586825079
Dapma7bEVm000381,214_9893542,-0.505031206
Dapma7bEVm000390,214_9893542,-0.521852689
Dapma7bEVm000393,214_9893542,-0.530500984
Dapma7bEVm000405,214_9893542,-0.544507954
Dapma7bEVm000432,214_9893542,-0.615436988
Dapma7bEVm000463,214_9893542,-0.563155086
Dapma7bEVm000046,215_0519749,-0.516020137
Dapma7bEVm000112,215_0519749,-0.550173615
Dapma7bEVm000195,215_0519749,-0.556533502
Dapma7bEVm000201,215_0519749,-0.52387292
Dapma7bEVm000243,215_0519749,-0.581285895
Dapma7bEVm000246,215_0519749,-0.545861497
Dapma7bEVm000250,215_0519749,-0.527592976
Dapma7bEVm000253,215_0519749,-0.57481357
Dapma7bEVm000254,215_0519749,-0.552854823
Dapma7bEVm000258,215_0519749,0.50156273
Dapma7bEVm000320,215_0519749,-0.55073733
Dapma7bEVm000381,215_0519749,-0.51002133
Dapma7bEVm000390,215_0519749,-0.502478113
Dapma7bEVm000405,215_0519749,-0.504723519
Dapma7bEVm000432,215_0519749,-0.555958012
Dapma7bEVm000463,215_0519749,-0.549062957
Dapma7bEVm000243,215_0771164,-0.5034506
Dapma7bEVm000250,215_0771164,-0.532159233
Dapma7bEVm000432,215_0771164,-0.522041949
Dapma7bEVm000243,215_9903209,-0.530585344
Dapma7bEVm000432,215_9903209,-0.502840425
Dapma7bEVm000007,218_9844358,-0.5104831
Dapma7bEVm000046,218_9844358,-0.550762444
Dapma7bEVm000066,218_9844358,-0.503408139
Dapma7bEVm000112,218_9844358,-0.591227181
Dapma7bEVm000188,218_9844358,-0.507975295
Dapma7bEVm000195,218_9844358,-0.545667724
Dapma7bEVm000201,218_9844358,-0.551042282
Dapma7bEVm000243,218_9844358,-0.625200267
Dapma7bEVm000246,218_9844358,-0.568217576
Dapma7bEVm000250,218_9844358,-0.585124848
Dapma7bEVm000253,218_9844358,-0.590658734
Dapma7bEVm000254,218_9844358,-0.574798402
Dapma7bEVm000320,218_9844358,-0.591382977
Dapma7bEVm000381,218_9844358,-0.509976733
Dapma7bEVm000390,218_9844358,-0.538608003
Dapma7bEVm000393,218_9844358,-0.511724113
Dapma7bEVm000399,218_9844358,-0.509192285
Dapma7bEVm000405,218_9844358,-0.54583587
Dapma7bEVm000432,218_9844358,-0.612793025
Dapma7bEVm000463,218_9844358,-0.565892156
Dapma7bEVm000055,228_1117789,0.532536062
Dapma7bEVm000055,228_1179908,0.536195665
Dapma7bEVm000243,233_000086,-0.507508239
Dapma7bEVm000112,237_0980027,-0.501997919
Dapma7bEVm000243,237_0980027,-0.508141553
Dapma7bEVm000432,237_0980027,-0.503880941
Dapma7bEVm000243,238_0460383,0.509002778
Dapma7bEVm000250,260_0985656,-0.53185677
Dapma7bEVm000432,260_0985656,-0.508752551
Dapma7bEVm000037,264_0772566,-0.5344045
Dapma7bEVm000046,264_0772566,-0.503088942
Dapma7bEVm000055,264_0772566,-0.521453472
Dapma7bEVm000066,264_0772566,-0.509815236
Dapma7bEVm000112,264_0772566,-0.517368545
Dapma7bEVm000195,264_0772566,-0.501504302
Dapma7bEVm000201,264_0772566,-0.523568612
Dapma7bEVm000243,264_0772566,-0.578835135
Dapma7bEVm000246,264_0772566,-0.559830104
Dapma7bEVm000250,264_0772566,-0.554297873
Dapma7bEVm000253,264_0772566,-0.58728807
Dapma7bEVm000254,264_0772566,-0.564628186
Dapma7bEVm000258,264_0772566,0.518092669
Dapma7bEVm000320,264_0772566,-0.575843562
Dapma7bEVm000328,264_0772566,-0.523691274
Dapma7bEVm000390,264_0772566,-0.518519743
Dapma7bEVm000405,264_0772566,-0.594322061
Dapma7bEVm000432,264_0772566,-0.545208442
Dapma7bEVm000463,264_0772566,-0.57543881
Dapma7bEVm000127,266_0343253,0.519334709
Dapma7bEVm000171,266_0343253,0.552616092
Dapma7bEVm000308,266_0343253,0.565801069
Dapma7bEVm000368,266_0343253,0.509791865
Dapma7bEVm000072,283_0856581,0.544247087
Dapma7bEVm000243,284_9261837,-0.505156381
Dapma7bEVm000046,285_0828087,-0.508831738
Dapma7bEVm000072,285_0828087,0.518073859
Dapma7bEVm000112,285_0828087,-0.548776213
Dapma7bEVm000243,285_0828087,-0.572461169
Dapma7bEVm000246,285_0828087,-0.509486628
Dapma7bEVm000250,285_0828087,-0.536750043
Dapma7bEVm000253,285_0828087,-0.550176128
Dapma7bEVm000254,285_0828087,-0.519828824
Dapma7bEVm000320,285_0828087,-0.525835198
Dapma7bEVm000393,285_0828087,-0.500099732
Dapma7bEVm000399,285_0828087,-0.518667184
Dapma7bEVm000405,285_0828087,-0.509354329
Dapma7bEVm000432,285_0828087,-0.567659653
Dapma7bEVm000463,285_0828087,-0.500822268
Dapma7bEVm000002,305_0016376,0.512773073
Dapma7bEVm000055,305_0016376,0.560330199
Dapma7bEVm000393,326_0856092,-0.529073011
Dapma7bEVm000432,326_0856092,-0.511861384
Dapma7bEVm000195,328_8130335,0.501155932
Dapma7bEVm000112,370_0403345,-0.513715623
Dapma7bEVm000243,370_0403345,-0.520604609
Dapma7bEVm000253,370_0403345,-0.519469629
Dapma7bEVm000320,370_0403345,-0.506407217
Dapma7bEVm000381,370_0403345,-0.514748503
Dapma7bEVm000112,144_9980713,-0.526146683
Dapma7bEVm000243,144_9980713,-0.524863345
Dapma7bEVm000253,144_9980713,-0.524609193
Dapma7bEVm000254,144_9980713,-0.511779265
Dapma7bEVm000320,144_9980713,-0.517364364
Dapma7bEVm000405,144_9980713,-0.532189436
Dapma7bEVm000432,144_9980713,-0.514208226
Dapma7bEVm000243,162_963925,-0.541278592
Dapma7bEVm000432,162_963925,-0.532973819
Dapma7bEVm000243,178_9770747,-0.543941707
Dapma7bEVm000432,178_9770747,-0.5315561
Dapma7bEVm000127,180_0641465,0.52790983
Dapma7bEVm000149,180_0641465,0.51493484
Dapma7bEVm000171,180_0641465,0.557675092
Dapma7bEVm000308,180_0641465,0.524755156
Dapma7bEVm000365,180_0641465,0.562284245
Dapma7bEVm000243,188_007874,-0.505252974
Dapma7bEVm000112,202_0234296,-0.542816639
Dapma7bEVm000188,202_0234296,-0.523015397
Dapma7bEVm000243,202_0234296,-0.57651537
Dapma7bEVm000246,202_0234296,-0.553741559
Dapma7bEVm000250,202_0234296,-0.533649141
Dapma7bEVm000253,202_0234296,-0.530945271
Dapma7bEVm000254,202_0234296,-0.520695125
Dapma7bEVm000320,202_0234296,-0.53002265
Dapma7bEVm000432,202_0234296,-0.567046839
Dapma7bEVm000127,202_0471853,0.522641164
Dapma7bEVm000171,202_0471853,0.535467796
Dapma7bEVm000046,203_0200539,-0.521406722
Dapma7bEVm000112,203_0200539,-0.550571022
Dapma7bEVm000188,203_0200539,-0.529001941
Dapma7bEVm000243,203_0200539,-0.589649947
Dapma7bEVm000246,203_0200539,-0.56275948
Dapma7bEVm000250,203_0200539,-0.546915822
Dapma7bEVm000253,203_0200539,-0.546234404
Dapma7bEVm000254,203_0200539,-0.534708476
Dapma7bEVm000320,203_0200539,-0.547157316
Dapma7bEVm000390,203_0200539,-0.518388747
Dapma7bEVm000405,203_0200539,-0.51270492
Dapma7bEVm000432,203_0200539,-0.585294132
Dapma7bEVm000463,203_0200539,-0.519776909
Dapma7bEVm000003,203_0281616,-0.502936273
Dapma7bEVm000046,203_0281616,-0.523325659
Dapma7bEVm000112,203_0281616,-0.574082483
Dapma7bEVm000188,203_0281616,-0.541332539
Dapma7bEVm000195,203_0281616,-0.500613097
Dapma7bEVm000243,203_0281616,-0.603540999
Dapma7bEVm000246,203_0281616,-0.56439124
Dapma7bEVm000250,203_0281616,-0.558625076
